swarm0,swarm1,swarm2,swarm3,swarm4,swarm5,swarm6,swarm7,swarm8,swarm9,swarm10,swarm11,swarm12,swarm13,swarm14,swarm15,swarm16,swarm17,swarm18,swarm19,swarm20,swarm21,swarm22,swarm23,swarm24,swarm25,swarm26,swarm27,swarm28,swarm29,swarm30,swarm31,swarm32,swarm33,swarm34,swarm35,swarm36,swarm37,swarm38,swarm39,swarm40,swarm41,swarm42,swarm43,swarm44,swarm45,swarm46,swarm47,swarm48,swarm49,swarm50,swarm51,swarm52,swarm53,swarm54,swarm55,swarm56,swarm57,swarm58,swarm59,swarm60,swarm61,swarm62,swarm63,swarm64,swarm65,swarm66,swarm67,swarm68,swarm69,swarm70,swarm71,swarm72,swarm73,swarm74,swarm75,swarm76,swarm77,swarm78,swarm79,swarm80,swarm81,swarm82,swarm83,swarm84,swarm85,swarm86,swarm87,swarm88,swarm89,swarm90,swarm91,swarm92,swarm93,swarm94,swarm95,swarm96,swarm97,swarm98,swarm99
[0.004130 -0.509725],[-0.416985 -0.069522],[0.142846 -0.104090],[0.051983 -0.181274],[0.768117 0.231059],[0.122399 0.158495],[-0.500905 0.074221],[0.355052 0.105530],[0.542057 0.331830],[0.112081 -0.542182],[-0.095700 -0.036750],[0.117856 -0.078456],[0.454925 0.013444],[-0.033589 -0.233244],[-0.081474 -0.263654],[-0.129007 0.136505],[0.122937 0.102688],[-0.042210 -1.508552],[-0.042769 0.087326],[0.038996 0.066710],[0.242312 0.274768],[0.212013 0.409205],[0.258742 1.875113],[0.039053 -0.128754],[0.278793 0.212799],[-0.047285 0.119333],[-0.163074 0.388521],[0.023274 -0.483416],[-0.211055 0.312563],[-0.197709 0.144538],[-0.321335 -0.090195],[0.017957 0.379870],[-0.022467 -0.941572],[-0.309172 0.035743],[0.437574 0.350706],[0.073796 0.033064],[-0.069762 -0.125852],[0.181601 0.927909],[-0.041588 -0.857482],[0.035300 0.154418],[0.132562 -0.226036],[0.063906 1.275469],[0.069135 -0.172700],[0.255728 1.268154],[0.529813 -0.553155],[-0.154655 -0.271511],[-0.621996 -0.032317],[-0.027324 0.091741],[-0.681258 0.100387],[0.745667 -0.997504],[-0.045838 0.041169],[-0.383207 -0.024033],[0.300885 0.077838],[-0.328851 -0.142949],[0.666298 0.241574],[-0.012705 -0.487074],[-0.136803 0.514692],[-0.075906 0.042676],[0.199402 0.327652],[0.122574 -0.048259],[0.004907 -0.158274],[0.566331 -0.159042],[-0.299992 0.457902],[-0.108030 0.189568],[-0.042166 0.234438],[0.092647 0.247056],[-0.309526 -0.239767],[-1.724396 0.051560],[-0.141899 -0.075508],[0.026923 0.314693],[0.105629 0.060603],[-0.313838 -0.097597],[-0.423180 -0.205035],[0.104223 0.209806],[0.047660 -0.286524],[-0.038531 0.057730],[0.194089 -0.324495],[-0.346316 -0.430897],[-0.032744 -0.365402],[0.541555 -0.040669],[0.168091 -0.734560],[-0.132121 -2.235858],[-0.103788 0.092344],[0.277565 0.432296],[0.012049 -0.035133],[-0.147673 1.856034],[0.262557 4.613519],[0.069652 0.028497],[-0.116388 0.309585],[-0.634713 -0.520276],[0.564782 -0.136735],[0.005922 -0.016934],[-0.188469 -1.502959],[0.087238 0.401657],[-1.035265 -1.913728],[-0.323196 -0.192660],[-0.038171 -0.370536],[-0.199288 -0.147594],[-0.150389 0.229365],[0.031261 0.250488]
[-0.030255 -0.147087],[-1.088623 -0.150737],[0.102275 -0.011691],[0.102259 0.012060],[-0.069330 -0.130368],[-0.130117 0.071031],[-0.849178 -0.053131],[0.162122 0.053706],[0.883270 -0.203613],[0.113640 0.058973],[0.653123 -0.082131],[0.048027 0.056708],[0.186262 -0.182921],[0.361874 -0.159176],[0.086950 -0.312317],[0.083553 -0.027534],[0.152840 -0.005978],[-0.256639 -0.603537],[0.302977 -0.034777],[0.052802 -0.162909],[-0.036484 -0.036096],[0.025860 0.111094],[0.392132 -1.044218],[0.251728 1.263081],[0.089386 0.283935],[0.114421 0.107985],[-0.140978 0.004727],[-0.155592 -0.410480],[-0.222261 -0.241083],[-0.134563 -0.015400],[0.117897 -0.023907],[0.182598 0.392499],[-0.011133 -0.248012],[-0.370906 -0.168192],[0.639313 -0.115790],[-0.142159 -0.005586],[-0.083994 -0.365057],[-0.174285 -0.193708],[-0.147799 -2.746926],[0.083468 -0.115967],[0.139198 0.073140],[0.043464 -0.197797],[0.063139 -0.173424],[0.087282 0.742175],[0.518398 -0.651559],[-0.078956 -0.747932],[-0.410495 -0.001862],[0.141961 -0.121823],[-0.596875 0.089824],[0.898563 -1.285729],[0.091450 -0.060351],[-0.108071 0.005016],[-0.224439 -0.193003],[0.075031 -0.107049],[-0.381432 -0.317803],[0.062637 -0.349586],[-0.129920 -0.107951],[-0.214958 -0.261308],[0.083477 -0.083374],[0.028120 -0.016789],[0.036156 0.072312],[0.508476 -0.223743],[-0.071443 0.676376],[-0.115248 -0.066704],[-0.003415 0.037271],[0.060034 -0.244999],[0.170164 -0.216274],[-1.144395 -0.129263],[0.483933 -0.093825],[0.115262 -0.340397],[0.024441 0.000425],[-0.223435 -0.199792],[-0.319847 -0.146666],[0.087769 -0.131519],[-0.061340 -0.129684],[-0.005035 -0.259061],[0.146259 -0.517347],[-0.020007 -0.989237],[-0.098671 -0.483346],[-0.230230 -0.069812],[0.008475 -0.862070],[0.226909 -1.049833],[-0.081266 0.039804],[0.605423 0.176459],[-0.046155 -0.049673],[-0.265096 -0.179628],[0.081258 -1.916655],[0.134043 0.030616],[0.073274 -0.267119],[0.397847 -0.300380],[1.023838 -0.224207],[-0.039219 -0.036330],[-0.148726 0.125025],[0.152184 0.413848],[1.502326 -0.429132],[-0.215756 -0.128338],[0.056748 -0.280233],[0.197556 0.005856],[-0.400475 -0.570203],[-0.340808 0.047633]
[-0.022489 0.121507],[-0.208445 -0.139239],[0.065050 0.028015],[0.045269 0.092825],[-0.399229 -0.294036],[-0.063556 -0.025330],[-0.490810 -0.113799],[-0.022023 -0.063593],[0.782985 -0.148588],[-0.066870 0.358392],[0.810368 -0.008973],[-0.028952 0.122593],[-0.117531 -0.024148],[0.230374 0.026183],[0.166559 -0.176295],[0.083102 -0.099966],[0.139930 -0.061523],[0.089849 0.992806],[0.373212 -0.061436],[0.010981 -0.074409],[-0.135402 -0.162793],[-0.072217 -0.227381],[0.430537 -0.830454],[0.322745 0.363360],[-0.117503 0.230734],[0.118059 -0.121879],[0.145537 -0.209971],[-0.100273 0.151012],[0.185919 -0.263292],[0.005626 -0.095463],[0.316882 0.016856],[-0.036800 -0.348150],[0.008726 0.194666],[-0.243282 -0.261878],[0.029114 -0.324562],[-0.157641 -0.046415],[-0.045143 0.172657],[-0.104871 -0.434692],[-0.135470 -2.278637],[0.050198 -0.108999],[0.131815 0.163533],[0.019576 -0.815804],[-0.014442 0.035071],[-0.096134 0.107506],[0.266765 0.449200],[0.040324 0.027555],[0.018119 0.006578],[-0.020804 -0.085199],[0.533779 0.009032],[0.856697 -0.848682],[0.063732 -0.065366],[0.171837 -0.013514],[-0.448867 -0.113215],[0.241825 0.083001],[-0.719162 -0.508745],[0.084840 0.005602],[0.127816 -0.368228],[0.093800 -0.155597],[-0.089206 -0.264398],[-0.022906 -0.001112],[0.045503 0.173306],[-0.097678 -0.187104],[0.192362 -0.199774],[-0.071517 -0.158016],[0.016428 -0.061841],[-0.007812 -0.462715],[0.236075 -0.183935],[1.045726 -0.198527],[0.479890 -0.072114],[-0.014899 -0.419739],[-0.018079 -0.059600],[0.124301 -0.003919],[-0.204654 0.091251],[0.065805 -0.073124],[-0.068709 0.028082],[0.012659 -0.334237],[-0.004563 -0.137049],[0.188889 -1.030384],[-0.077981 0.390010],[-0.432612 -0.011829],[-0.075847 0.542371],[0.173193 1.215238],[-0.039202 0.005097],[-0.426439 -0.175010],[-0.006588 -0.004872],[0.157648 -0.931763],[-0.038547 -3.707465],[0.035205 -0.034996],[0.060645 -0.090595],[0.764318 0.192892],[-0.750269 -0.054628],[-0.008623 -0.036446],[-0.054433 0.656992],[0.065002 -0.063656],[0.247355 0.508474],[0.064377 -0.078345],[0.011285 -0.054271],[0.364797 0.056163],[-0.310292 0.019274],[-0.402148 -0.087337]
[-0.006378 0.031767],[0.542193 -0.018556],[-0.048337 0.045948],[0.015965 0.126253],[-0.383104 -0.093307],[0.061175 -0.056386],[-0.150663 -0.086763],[-0.113296 -0.047051],[0.452835 0.076382],[-0.079877 0.424759],[-0.291115 0.033512],[-0.023951 0.001503],[-0.136777 0.072278],[0.053523 0.103699],[0.100331 -0.040023],[-0.059466 -0.010956],[-0.141129 -0.004830],[0.087928 0.636143],[-0.229220 -0.025884],[-0.023628 -0.002029],[0.060910 -0.100516],[-0.089594 -0.234190],[-0.042463 -0.511731],[0.165932 -0.406448],[-0.217553 0.052569],[-0.011472 -0.207628],[0.144439 -0.157202],[-0.029640 0.299260],[0.086188 -0.217143],[0.065956 0.006825],[0.363966 0.016031],[-0.115732 -0.238424],[-0.001415 0.021809],[0.221791 0.012188],[-0.312141 -0.256247],[-0.045917 -0.034084],[0.006055 0.213199],[0.072484 0.137733],[0.056171 0.991953],[-0.053556 -0.074784],[0.046018 -0.024023],[-0.014570 -0.986492],[-0.047794 0.067363],[-0.017551 -0.412421],[-0.133145 0.902306],[0.059929 0.361483],[0.203615 0.007906],[-0.080239 0.004971],[0.676335 -0.050720],[0.543711 -0.308228],[0.028740 -0.011974],[-0.041523 -0.020472],[-0.286114 0.081430],[0.015942 0.108647],[-0.719814 0.157417],[0.021262 0.179605],[0.071892 -0.022121],[0.057746 -0.014679],[-0.059375 -0.334977],[-0.037175 0.006229],[-0.015953 -0.112547],[-0.240308 0.084126],[0.178403 -0.346997],[-0.031115 -0.026510],[0.003253 -0.080980],[-0.039678 -0.334536],[-0.003223 -0.014693],[0.180059 -0.046110],[0.096073 -0.043973],[-0.067331 -0.075341],[-0.022924 0.017647],[0.180183 0.093539],[0.007880 0.135302],[-0.074477 -0.033538],[0.045304 0.045339],[-0.016153 0.245855],[-0.080790 0.108178],[0.073797 -0.301731],[0.072142 0.648898],[0.307881 0.026808],[-0.010144 0.353148],[0.092554 1.041143],[0.023476 -0.031868],[-0.388271 -0.338643],[0.013195 0.017529],[0.157322 -0.718317],[-0.067950 1.945660],[-0.033879 -0.027300],[0.031735 0.104769],[0.139771 0.085061],[-0.175955 0.040511],[0.010394 -0.014122],[0.020811 0.098509],[-0.015985 -0.241836],[-0.594441 0.488173],[0.131436 -0.022192],[-0.046335 0.087510],[-0.204400 0.012898],[-0.195121 0.281622],[-0.048062 -0.013895]
[0.001641 -0.058500],[0.012425 0.044629],[-0.101937 -0.044158],[-0.013967 0.090548],[-0.097623 0.068212],[-0.002599 0.010386],[0.171752 -0.036365],[-0.023525 0.040952],[-0.291722 0.108155],[-0.004411 0.018150],[-0.389218 0.012273],[-0.009314 -0.067545],[-0.092459 0.009728],[-0.119369 0.081614],[-0.038471 0.033848],[-0.028105 0.041138],[-0.165070 0.023453],[-0.017511 0.273172],[-0.169824 0.029626],[-0.014224 0.032715],[0.146524 0.059635],[-0.013061 0.099832],[-0.251700 0.485470],[0.071733 -0.576004],[-0.084677 -0.056384],[-0.072832 0.006293],[-0.079222 0.098663],[0.029476 0.157681],[-0.075365 0.055146],[-0.035092 0.048901],[0.199616 -0.017128],[-0.033741 0.070413],[-0.009043 -0.098393],[0.183354 0.117337],[-0.290309 -0.007062],[0.030044 0.024745],[0.017701 -0.123350],[0.136132 0.355535],[0.057284 1.954399],[-0.054188 -0.007323],[-0.017891 -0.104045],[-0.020151 -0.294981],[-0.050746 0.061329],[0.043451 0.126716],[-0.176111 -0.023131],[0.055707 0.460263],[0.290940 -0.010632],[-0.000736 0.036402],[0.059852 0.002295],[-0.190900 0.126856],[-0.030803 0.028861],[-0.141099 -0.008105],[-0.178262 0.113721],[-0.135068 -0.087227],[-0.243704 0.429191],[-0.060038 -0.093160],[-0.090982 0.181990],[-0.070056 0.071447],[0.024247 0.143847],[-0.029558 -0.009644],[-0.034568 -0.206020],[-0.179288 0.175910],[-0.106294 -0.221984],[0.005423 0.055630],[-0.004005 -0.007459],[-0.026430 -0.100834],[-0.128410 0.074459],[-0.517143 0.101581],[-0.185595 0.028247],[-0.027621 0.117007],[0.004421 0.044513],[-0.108539 -0.033337],[0.091665 0.090473],[-0.126225 0.013814],[0.044570 0.011128],[-0.012132 0.382383],[-0.007952 0.227483],[-0.124145 0.191193],[0.030894 -0.245508],[0.657364 0.002306],[0.025976 -0.045248],[-0.100118 0.580923],[0.007906 -0.044234],[0.300889 0.084387],[0.009811 0.011236],[0.062823 -0.466274],[-0.068950 2.083880],[-0.030679 0.005652],[-0.033631 -0.001912],[-0.267678 0.003555],[0.148266 0.018030],[-0.004097 0.012891],[0.018803 -0.217830],[-0.056466 -0.230271],[-0.410739 -0.495408],[0.083482 0.017366],[-0.014228 0.119547],[-0.429254 -0.036476],[0.130128 0.368506],[0.153942 0.026884]
[-0.000652 -0.093384],[-0.262547 0.076047],[-0.098572 -0.085903],[-0.015179 -0.029851],[0.137426 0.104123],[-0.038710 0.019121],[0.285504 0.039354],[0.048150 0.040378],[-0.642121 0.070750],[0.030831 -0.211952],[0.181061 -0.006790],[-0.001268 -0.038216],[-0.015252 -0.022618],[-0.084627 0.060867],[-0.048709 0.014790],[0.001392 -0.020132],[-0.061019 0.016793],[-0.058047 -0.059079],[-0.014376 0.012608],[-0.005688 0.041270],[0.104598 0.021926],[0.027700 0.189133],[-0.142842 0.221041],[-0.015104 -0.244580],[0.137633 -0.024705],[-0.042359 0.100200],[-0.118000 0.144183],[0.058887 -0.225172],[-0.090673 0.091620],[-0.067770 0.057916],[0.041614 -0.030566],[0.058678 0.179094],[-0.012192 -0.135148],[-0.213814 0.066820],[0.275534 0.121723],[0.049016 0.036272],[0.021041 -0.130945],[-0.064042 -0.097619],[-0.004163 0.085456],[0.018368 0.026557],[-0.049194 -0.013764],[-0.020786 0.388797],[-0.020447 0.047544],[0.023817 0.177333],[-0.047008 -0.480717],[-0.007141 -0.267865],[0.292636 -0.013480],[0.031834 -0.027058],[-0.303243 0.019141],[-0.493657 0.285242],[-0.030166 0.039726],[-0.080862 0.001433],[-0.026940 -0.081730],[-0.023327 -0.101090],[0.050282 0.433501],[-0.096911 -0.216247],[-0.038390 -0.043705],[-0.032427 0.078654],[0.047038 0.185758],[-0.010066 -0.010016],[-0.011980 0.078346],[0.011446 0.216492],[-0.066808 0.034079],[0.002152 0.033243],[-0.009590 0.031494],[0.001398 0.163614],[0.043176 0.010015],[-0.410597 0.067922],[0.015054 0.057086],[0.032409 0.198557],[0.006055 -0.029491],[-0.204834 -0.055316],[0.114320 -0.115401],[-0.115300 0.015391],[-0.029278 -0.034788],[-0.005162 0.190245],[0.028997 -0.000395],[-0.028399 0.153245],[-0.004965 -0.467212],[-0.339594 -0.019293],[0.032691 -0.223048],[-0.022800 -0.650645],[-0.017734 -0.000789],[0.505876 0.279395],[-0.014194 0.004346],[-0.004859 0.243531],[-0.042720 1.920069],[-0.016603 0.019425],[-0.048885 -0.056514],[-0.182334 -0.045473],[0.241208 -0.000998],[-0.014513 0.012077],[0.016967 -0.174573],[-0.018063 0.135672],[0.001022 -0.954759],[0.057648 0.025606],[0.010702 0.062940],[-0.495125 -0.052044],[0.230444 0.199731],[0.158790 0.008812]
[-0.011207 -0.016127],[0.103942 0.073304],[0.037343 -0.016550],[-0.013304 -0.042764],[0.019609 -0.056156],[-0.030366 -0.012782],[0.099649 0.069123],[0.077458 0.033542],[-0.808750 -0.038043],[-0.002876 0.080291],[0.102875 -0.015262],[-0.006633 0.007224],[0.031637 -0.033451],[-0.022838 -0.078642],[-0.021482 -0.019749],[0.015627 -0.044548],[0.001608 -0.026818],[0.015260 -0.183877],[0.063418 -0.018854],[-0.002215 0.005754],[-0.079423 -0.026015],[0.031386 -0.050330],[-0.033221 -0.020267],[-0.041536 0.089217],[0.035337 0.029319],[-0.024333 -0.033479],[-0.084177 0.156705],[-0.016293 -0.403795],[-0.073081 0.031308],[-0.021621 0.034650],[-0.107361 -0.032850],[0.014642 0.208609],[-0.013596 -0.152196],[-0.255264 -0.050752],[0.167866 -0.060048],[-0.000616 -0.011256],[-0.026224 -0.064884],[-0.154399 -0.192307],[-0.035030 -0.975949],[0.027172 0.020868],[0.000068 0.045144],[-0.014133 0.441293],[0.017549 -0.043108],[-0.007684 0.131381],[0.093285 -0.361645],[-0.038318 -0.621743],[0.043265 -0.007291],[0.006365 -0.031426],[-0.445285 0.014199],[-0.562617 0.243186],[-0.026030 -0.020911],[-0.002689 -0.004502],[0.073069 -0.080395],[0.061667 -0.022147],[0.157210 0.247523],[-0.067240 -0.236527],[0.003208 -0.149245],[0.036317 -0.053658],[0.037245 0.144532],[0.006071 -0.004285],[-0.000062 0.124429],[0.090737 -0.033445],[-0.041544 0.118266],[-0.016682 -0.010194],[-0.009499 -0.007131],[0.003900 0.273110],[0.099740 -0.024774],[-0.068227 -0.059553],[0.080654 -0.010781],[-0.008727 -0.104713],[-0.016173 -0.046548],[-0.058631 -0.038708],[0.030023 -0.072371],[-0.078401 0.013020],[-0.043170 -0.040019],[-0.004198 -0.226127],[0.031285 -0.119459],[0.040869 0.038740],[-0.023819 0.126513],[-0.750517 -0.020047],[0.022078 -0.106654],[0.039160 -0.601957],[-0.021642 0.015165],[0.167007 0.306423],[-0.019535 -0.006462],[-0.041734 0.103518],[0.019633 0.678818],[-0.007588 -0.013824],[0.004389 -0.030909],[-0.080639 -0.024742],[-0.120795 -0.016628],[-0.013308 0.004365],[0.011007 -0.045172],[0.023763 0.123722],[0.194628 0.626356],[-0.039566 -0.008026],[-0.000492 0.025823],[0.260903 -0.055766],[-0.120350 -0.071141],[-0.044705 -0.012819]
[-0.001124 0.029252],[0.266143 0.032846],[0.064322 0.041781],[0.002447 -0.028547],[-0.077412 -0.056895],[0.013011 -0.024070],[-0.045394 -0.022172],[0.073936 -0.025915],[0.671195 -0.036257],[-0.019471 0.178441],[0.030113 -0.009125],[-0.008896 0.013126],[0.025906 0.018502],[0.008187 -0.082380],[0.000286 -0.024370],[0.012108 -0.054791],[0.028629 -0.047231],[0.050209 0.106774],[-0.007045 -0.006230],[-0.000838 -0.029425],[-0.083227 -0.032049],[-0.012415 -0.110117],[0.082103 -0.129155],[-0.024614 0.192093],[-0.030579 0.015422],[0.000382 -0.079018],[-0.010307 -0.136853],[-0.049791 -0.328069],[-0.013889 -0.027809],[0.014973 -0.048725],[-0.118297 -0.002183],[-0.036450 0.187289],[0.002190 -0.001174],[0.055604 -0.064529],[-0.020185 -0.047145],[-0.028237 -0.033540],[-0.034116 0.055352],[0.073143 -0.024122],[-0.024461 -0.765223],[0.007489 0.005317],[0.022409 0.027323],[-0.005491 -0.119035],[0.000906 -0.072051],[-0.015077 -0.043367],[0.102554 -0.158550],[-0.036582 -0.146288],[-0.159935 0.000218],[-0.016859 0.017351],[-0.055814 -0.018805],[0.472181 0.097117],[-0.010641 -0.031515],[0.036398 -0.007469],[0.018065 0.053786],[0.102164 0.031601],[-0.058948 0.141604],[-0.041300 0.078596],[0.022692 0.027232],[0.054851 -0.073476],[0.018264 0.032693],[-0.002658 -0.001668],[0.001463 -0.034396],[-0.047642 -0.121264],[0.020278 0.130508],[-0.015529 -0.030663],[0.001684 -0.022066],[0.001991 0.227899],[-0.030920 -0.026492],[0.149862 -0.076464],[0.008051 -0.039203],[-0.024320 -0.191610],[-0.011516 -0.053287],[0.090486 -0.007339],[-0.069862 0.003086],[0.077349 -0.020074],[-0.014593 -0.007215],[-0.003564 -0.391860],[0.024321 -0.053761],[0.017668 -0.086698],[-0.033118 0.390256],[-0.736916 0.010296],[-0.011276 0.150972],[0.046266 -0.323858],[-0.015150 0.016709],[-0.211024 0.083438],[0.000708 -0.010214],[-0.045906 0.023955],[0.027322 -0.030814],[0.004904 -0.028335],[0.028377 -0.013041],[0.059823 0.021046],[-0.080788 -0.019230],[-0.006063 -0.014732],[-0.013556 0.075633],[0.006650 -0.048328],[0.073493 1.331981],[-0.062338 -0.020623],[-0.008542 -0.029680],[0.159835 -0.005312],[-0.070308 -0.183488],[-0.114915 -0.015653]
[0.004269 -0.005143],[0.267611 0.008622],[0.042844 0.017035],[0.010186 -0.018476],[-0.073852 -0.037394],[0.028034 -0.002950],[-0.101278 -0.051288],[0.026725 -0.020192],[1.191343 0.023033],[0.000661 -0.018395],[-0.054551 0.009061],[0.008474 0.014584],[-0.005394 0.030127],[0.014827 -0.002114],[0.013673 -0.006600],[-0.008276 0.038693],[0.036392 -0.027929],[0.037566 0.233869],[-0.030634 0.000270],[0.005731 -0.012369],[-0.039842 -0.019974],[-0.007046 0.066638],[0.104253 0.048702],[0.033081 -0.079930],[-0.023017 -0.019948],[0.014390 0.031653],[0.028985 -0.115192],[0.007141 -0.212742],[0.043543 -0.045421],[0.009591 -0.033107],[0.030397 0.014806],[-0.039330 -0.180636],[0.010083 0.074337],[0.126096 -0.040348],[-0.081116 -0.038071],[-0.018360 -0.019749],[-0.005313 0.007363],[0.099656 0.085931],[-0.007365 -0.368784],[-0.006129 -0.004590],[0.024788 0.017168],[0.004067 -0.290044],[-0.007158 -0.040081],[0.001487 -0.065656],[-0.043856 0.207242],[0.006477 0.214114],[-0.198792 0.002112],[-0.007361 0.035234],[0.183963 -0.024242],[0.902062 -0.123187],[0.009217 -0.020541],[0.054992 0.001740],[-0.014748 0.072344],[0.070339 0.043695],[-0.091799 -0.040874],[-0.010072 0.126637],[0.029608 0.088387],[-0.029889 -0.024903],[-0.023291 -0.042413],[-0.005452 0.000105],[0.003089 -0.059924],[-0.041709 -0.159832],[0.037390 -0.125377],[0.013726 0.013184],[0.007850 0.001664],[0.001214 0.011838],[-0.063787 0.015998],[0.096615 -0.040177],[-0.036837 -0.015214],[0.013476 -0.084289],[-0.007260 -0.007909],[0.065462 0.017194],[-0.072147 0.034742],[0.010243 -0.004410],[0.008634 0.019789],[0.000315 -0.421779],[0.015888 0.024799],[-0.024274 -0.066274],[-0.012957 -0.192623],[0.014913 0.017038],[-0.024502 0.169845],[-0.004017 -0.130259],[0.003649 0.007825],[-0.173810 -0.120122],[0.013500 0.005165],[0.047376 -0.017301],[0.017739 -0.352521],[0.008568 -0.016338],[0.002135 -0.001464],[0.028669 0.041173],[0.012513 0.007805],[0.010200 -0.003153],[0.000081 -0.017486],[-0.006391 -0.065828],[-0.099935 0.706692],[0.033820 -0.009322],[-0.004509 -0.056322],[-0.193706 0.023964],[0.015050 0.006886],[-0.097329 0.009425]
[0.002930 -0.021976],[-0.073444 -0.014058],[-0.015307 -0.028795],[0.001548 -0.004275],[-0.049393 0.002437],[0.002841 0.011140],[-0.127694 -0.024337],[-0.010293 -0.000452],[-0.170955 0.045720],[0.013507 -0.109990],[-0.059160 0.007853],[0.008956 0.007355],[-0.017699 -0.019967],[0.011287 0.039892],[0.000283 0.002811],[0.002186 0.050328],[0.028469 -0.007466],[0.012165 0.147669],[-0.041058 0.001468],[0.004672 0.005106],[0.004759 -0.005318],[-0.001849 0.075403],[0.099316 0.119306],[0.036370 -0.169878],[0.006888 -0.005964],[0.007381 0.042662],[0.015253 0.100955],[0.032670 0.223209],[0.042476 -0.017531],[-0.006179 0.026699],[0.079291 0.000524],[-0.030080 -0.107162],[0.012545 -0.024603],[0.112695 -0.002473],[-0.079733 0.006245],[0.027478 0.003773],[0.020005 -0.020799],[0.031495 0.075529],[0.010861 0.003009],[0.003125 -0.002820],[-0.006769 -0.018143],[0.005763 -0.276311],[0.005772 0.024607],[0.010985 0.017816],[-0.073453 0.218540],[0.025123 0.353353],[-0.121678 0.000060],[0.014989 0.038207],[0.144022 -0.025387],[-0.594387 -0.061548],[0.013091 -0.004306],[-0.000790 0.000990],[-0.022072 -0.031276],[-0.059388 0.043244],[-0.005844 -0.054319],[0.026821 0.146465],[-0.006279 -0.032441],[-0.047441 0.039731],[-0.027561 -0.073943],[-0.001189 0.000975],[0.002140 -0.043431],[0.042032 -0.009378],[0.008980 -0.173615],[0.017190 0.032499],[0.005761 0.012378],[0.001455 -0.105768],[-0.070169 0.012796],[0.036157 0.033551],[0.006311 -0.002637],[0.031794 0.058212],[0.013234 0.025884],[0.042704 0.014006],[-0.027035 0.046357],[-0.023997 0.005310],[0.007842 0.016227],[0.002989 0.266496],[0.008477 0.059328],[0.000730 0.056681],[0.018340 -0.209318],[0.380282 -0.005284],[0.007636 0.114130],[-0.021507 0.073856],[0.012747 -0.011797],[-0.071147 -0.078632],[0.010808 0.012734],[0.075360 -0.021360],[-0.012923 -0.265588],[0.006489 -0.004397],[-0.010948 0.004482],[-0.037686 -0.027576],[0.058889 0.013468],[0.017961 0.003398],[0.009499 -0.038730],[-0.004109 0.011254],[-0.041191 0.270279],[0.036219 0.006548],[0.006477 -0.004295],[-0.221563 -0.002102],[0.048854 0.101154],[0.089677 0.002000]
[-0.004944 0.008987],[-0.176495 -0.020636],[-0.022056 -0.012334],[-0.003297 0.004996],[0.039979 0.019818],[-0.016256 0.010387],[0.109627 -0.007085],[-0.027231 0.010650],[-0.527046 0.045299],[0.001753 0.032130],[-0.056421 0.005247],[0.006645 -0.002943],[-0.009908 -0.016617],[0.008954 0.032455],[-0.007511 0.006811],[0.004663 -0.007521],[0.005141 0.005025],[-0.020454 -0.142918],[0.009994 0.001987],[0.000672 0.012496],[0.021572 0.002254],[0.001913 -0.036468],[0.057955 0.074272],[-0.023541 -0.103469],[0.020506 0.004295],[-0.003785 0.045744],[-0.019420 0.045800],[0.015975 0.363551],[-0.001270 0.020232],[-0.006442 0.054033],[-0.046696 -0.005936],[0.015775 0.055783],[0.008176 -0.053254],[-0.109386 0.017490],[-0.071101 0.025244],[0.040242 0.015490],[0.006918 0.002808],[-0.058209 0.066747],[0.018530 0.185082],[0.000279 -0.001898],[-0.018632 -0.017034],[0.003632 0.166631],[0.004846 0.033318],[0.002544 0.054218],[-0.009768 0.159570],[0.007990 -0.135254],[0.147419 -0.000827],[0.011349 -0.008112],[-0.048847 -0.020307],[-0.914273 0.077947],[0.013133 0.013248],[-0.028681 0.000615],[-0.025006 -0.038516],[-0.042925 -0.039525],[0.043479 0.016984],[0.022956 -0.038060],[-0.016291 -0.089744],[0.013098 0.071253],[-0.003792 -0.015832],[0.001299 0.001421],[0.000524 -0.001250],[0.069481 0.086160],[-0.019671 -0.136832],[-0.003392 0.006018],[-0.003134 -0.004177],[-0.001812 0.034728],[-0.057192 0.005200],[-0.066523 0.031717],[0.017577 0.005938],[-0.017204 0.112094],[0.015752 0.033149],[-0.020303 0.008222],[0.019430 -0.012240],[-0.001547 0.006127],[-0.007596 -0.005322],[-0.001173 0.366387],[-0.001891 -0.011984],[0.011612 0.068481],[-0.004205 -0.121619],[-0.006013 -0.005011],[0.020288 -0.049843],[-0.004206 0.162742],[-0.008916 -0.001589],[0.083268 -0.010531],[0.006038 0.009545],[-0.042088 0.001211],[-0.012799 -0.133007],[-0.002647 0.004006],[-0.008169 0.006290],[-0.068235 -0.038023],[-0.025384 0.005309],[0.015947 0.005749],[0.011196 -0.042735],[0.002177 0.040892],[-0.004045 -0.111118],[0.019294 0.011944],[0.000944 0.030743],[0.160810 -0.014744],[-0.024076 0.114713],[0.048904 -0.001951]
